"x" "y" "x_err" "y_err" "corxy"
0.418 -0.60207 0.05883 0.111248 -0.05726
0.354 -0.24933 0.052497 0.104975 0.447804
0.408 -0.41892 0.07071 0.117172 -0.95569
0.59 -0.71543 0.057428 0.11656 0.316928
0.098 -0.23831 0.056435 0.132047 -0.58023
0.248 -0.39627 0.085866 0.109967 0.722991
0.319 -0.43433 0.066241 0.134794 0.036331
0.126 -0.26458 0.086815 0.123301 0.654299
0.366 -0.44491 0.038418 0.115432 -0.85803
0.231 -0.55543 0.087235 0.112957 -0.02525
0.268 -0.5302 0.055569 0.116329 -0.6411
0.059 -0.21955 0.04531 0.092066 0.243879
0.197 -0.41968 0.068 0.112687 -0.21134
0.004 -0.6099 0.048466 0.11983 -0.28148
0.344 -0.25519 0.068963 0.122675 -0.83811
0.053 -0.24259 0.049091 0.123698 -0.82889
0.337 -0.30388 0.071196 0.109368 0.332578
0.384 -0.47767 0.045221 0.111813 -0.84271
0.176 -0.27664 0.044407 0.142431 0.705599
0.213 -0.51661 0.064007 0.117966 0.299203
0.438 -0.70668 0.084534 0.123266 -0.09743
0.106 -0.32201 0.068425 0.118059 0.5021
0.476 -0.38415 0.05243 0.109877 0.616371
0.234 -0.38173 0.067119 0.122848 -0.65493
0.139 -0.24196 0.049648 0.152479 -0.38954
0.029 -0.09514 0.07782 0.111348 0.828146
0.132 -0.25989 0.065764 0.164701 0.515647
0.276 -0.31651 0.084077 0.110237 -0.49198
0.138 -0.39025 0.051312 0.120355 0.247613
0.207 -0.445 0.088119 0.125436 0.786093
0.163 -0.43066 0.036674 0.103112 -0.65877
0.148 -0.31776 0.044204 0.110505 0.66663
-0.016 -0.14723 0.031304 0.112391 -0.97456
-0.005 -0.18401 0.068 0.110238 -0.26991
0.336 -0.42878 0.085088 0.123967 -0.73766
0.163 -0.34784 0.058668 0.111946 -0.76789
0.051 -0.16785 0.055569 0.117982 0.288431
0.245 -0.52346 0.066241 0.105154 0.456696
0.053 -0.18877 0.029068 0.124813 -0.62652
0.123 -0.30272 0.052153 0.117159 0.961347
0.334 -0.68326 0.082764 0.114702 -0.58331
0 -0.08786 0.053 0.124778 0.019386
0.087 -0.39166 0.079624 0.155713 0.317982
-0.085 -0.12011 0.070213 0.130908 -0.62172
0.233 -0.16347 0.050219 0.107255 -0.66632
0.215 -0.36907 0.047201 0.121728 -0.54453
0.129 -0.32689 0.042011 0.113161 0.681117
0.173 -0.36014 0.059169 0.121039 0.291027
0.102 -0.30444 0.065863 0.164388 -0.86869
0.261 -0.25049 0.077414 0.109309 -0.7453
0.268 -0.40468 0.05547 0.118834 -0.62685
0.415 -0.39021 0.06414 0.140378 0.813466
0.19 -0.40873 0.064007 0.106925 -0.44357
0.059 -0.08487 0.065368 0.122888 -0.50022
0.219 -0.38062 0.042801 0.106575 0.618121
0.511 -0.55381 0.050477 0.116331 0.990372
0.193 -0.47661 0.068476 0.115662 -0.50327
0.098 -0.18891 0.030886 0.113382 0.91613
-0.03 -0.24737 0.032649 0.123796 -0.83153
0.147 -0.12809 0.039824 0.129032 0.860463
0.046 -0.18403 0.050477 0.105014 0.837318
-0.005 -0.14674 0.038288 0.144208 -0.86158
0.368 -0.48799 0.06673 0.119102 0.563327
0.333 -0.41949 0.050219 0.109384 0.045236
0.06 -0.60458 0.05883 0.120326 0.329849
-0.043 -0.17102 0.05608 0.113285 0.546631
-0.047 -0.21297 0.05608 0.120361 -0.52795
0.09 -0.22273 0.058523 0.116524 -0.58025
0.219 -0.58394 0.053535 0.109107 0.458366
0.228 -0.50606 0.082298 0.121797 0.532233
0.395 -0.51001 0.051039 0.125121 -0.40163
0.059 -0.22546 0.056938 0.109929 0.540839
0.143 -0.36697 0.056603 0.115784 0.396202
0.356 -0.5489 0.059363 0.117096 0.533248
0.215 -0.35054 0.068963 0.13416 -0.26925
0.197 -0.33942 0.047434 0.146741 -0.82914
0.072 -0.3006 0.045221 0.108564 -0.09358
0.254 -0.60046 0.057454 0.1209 -0.18393
0.164 -0.16928 0.039824 0.101842 -0.18796
0.082 -0.38591 0.081394 0.128162 -0.79935
0.061 -0.26251 0.053851 0.149577 0.815038
0.289 -0.27405 0.07343 0.106904 0.624145
0.26 -0.41896 0.045 0.118127 -0.40874
0.106 -0.15999 0.054378 0.103161 0.086265
-0.05 -0.2636 0.055569 0.108261 0.523788
0.182 -0.21156 0.069462 0.114107 0.784034
0.263 -0.34865 0.081841 0.11825 -0.50466
0.1 -0.15976 0.070661 0.101685 0.646936
0.275 -0.22654 0.072201 0.101318 0.047292
0.109 -0.23008 0.082734 0.145172 0.155561
0.217 -0.27969 0.064498 0.113455 -0.9672
0.005 -0.16325 0.0414 0.123054 -0.66565
0.394 -0.40165 0.069462 0.114303 0.03382
0.232 -0.50972 0.036235 0.110263 0.423994
-0.064 -0.25066 0.064007 0.115194 -0.00551
0.551 -0.48104 0.083725 0.120117 -0.16563
0.157 -0.34445 0.056603 0.124109 -0.90858
0.505 -0.62409 0.079404 0.126792 0.91245
0.209 -0.25632 0.048259 0.119498 0.225938
0.114 -0.34105 0.049648 0.137257 0.687411
0.484 -0.52745 0.047423 0.106913 0.650174
0.041 -0.18003 0.059169 0.107235 -0.238
0.214 -0.42446 0.053535 0.11875 0.634187
0.339 -0.36713 0.074303 0.118449 0.860626
0.298 -0.53348 0.028653 0.114318 -0.78764
0.599 -0.46692 0.07823 0.123569 0.797617
0.144 -0.17559 0.0436 0.128379 -0.81903
0.02 -0.16908 0.042953 0.109719 0.577495
0.212 -0.44056 0.059169 0.129772 -0.90288
0.253 -0.42629 0.057688 0.112387 0.325702
0.081 -0.13522 0.062265 0.084466 0.543672
0.143 -0.48992 0.088102 0.124064 -0.34296
0.225 -0.4198 0.083648 0.128834 0.718097
0.107 -0.3561 0.063285 0.115067 -0.964
0.14 -0.24768 0.07071 0.121656 -0.34365
0.104 -0.23409 0.056603 0.132672 0.259908
0.178 -0.41887 0.068 0.125235 0.045234
0.361 -0.53266 0.052009 0.119159 -0.91366
0.045 -0.12974 0.053 0.112813 -0.71021
0.285 -0.41572 0.087235 0.117266 0.390396
0.197 -0.47527 0.05883 0.131237 0.904017
0.146 -0.32312 0.040607 0.107201 0.538083
0.241 -0.39275 0.073355 0.121706 0.700875
0.111 -0.22775 0.057801 0.101511 0.720142
0.143 -0.2177 0.0436 0.101628 -0.93133
-0.051 -0.25314 0.064412 0.1094 0.741346
-0.028 -0.20326 0.055569 0.112089 -0.16548
-0.045 -0.20342 0.047927 0.113382 0.015847
0.34 -0.65674 0.073824 0.1219 0.073196
0.112 -0.31152 0.036878 0.13962 -0.83961
0.079 -0.28132 0.076922 0.120957 0.284095
0.26 -0.4399 0.063285 0.11713 0.952383
0.126 -0.09623 0.040607 0.127515 -0.02442
0.234 -0.43369 0.034 0.108225 -0.16547
0.079 -0.13443 0.062265 0.1164 -0.30635
0.079 -0.22089 0.049648 0.1357 0.205633
0.311 -0.41275 0.047201 0.118111 0.722929
0.252 -0.45874 0.075133 0.120624 -0.94162
0.002 -0.13825 0.04801 0.113782 0.019646
0.372 -0.63292 0.059682 0.11386 -0.29372
-0.025 -0.15355 0.038418 0.138903 -0.47925
0.134 -0.31505 0.042201 0.111086 -0.90967
0.123 -0.24203 0.047434 0.129729 -0.77358
0.079 -0.36852 0.055226 0.114774 -0.06497
0.533 -0.48672 0.056302 0.118965 -0.75497
0.362 -0.33706 0.060745 0.116486 -0.67684
0.345 -0.26769 0.048166 0.116734 -0.02528
0.29 -0.18753 0.047201 0.113491 -0.9847
0.342 -0.49178 0.085959 0.123953 0.307512
0.086 -0.2158 0.0436 0.102911 -0.76939
0.329 -0.28374 0.088192 0.151678 0.73401
0.339 -0.50085 0.066037 0.111998 -0.52078
-0.025 -0.33813 0.053535 0.149325 -0.52948
0.286 -0.35809 0.051865 0.112867 0.8696
0.262 -0.28316 0.089005 0.129043 0.239567
0.439 -0.51631 0.072201 0.130377 0.357119
0.259 -0.42983 0.068476 0.123685 -0.43863
0.19 -0.40726 0.075591 0.11228 0.351928
0.026 -0.28478 0.045221 0.103299 -0.55963
0.182 -0.35989 0.04801 0.104154 0.09846
0 -0.20948 0.034885 0.10649 0.450657
0.189 -0.29814 0.084534 0.131429 -0.9512
0.04 -0.29366 0.039051 0.126539 -0.21137
0.221 -0.3342 0.059908 0.117724 0.705453
-0.056 -0.26704 0.058694 0.136646 0.778639
0.051 -0.24875 0.051312 0.119136 -0.29181
0.076 -0.21421 0.053535 0.118702 0.6358
0.122 -0.36858 0.051865 0.161594 -0.13111
0.596 -0.48856 0.072401 0.1099 -0.78703
0.401 -0.6034 0.05547 0.118371 -0.19366
0.219 -0.27172 0.060959 0.124926 0.528535
-0.025 -0.23828 0.046043 0.126283 -0.56918
0.036 -0.33506 0.041146 0.121462 -0.99468
0.173 -0.294 0.052697 0.117018 0.15325
0.028 -0.27487 0.05608 0.150527 -0.78484
0.153 -0.25374 0.039698 0.114143 0.62644
-0.06 -0.27153 0.058668 0.109885 0.056888
0.168 -0.38544 0.060745 0.138923 0.787202
0.11 -0.28043 0.0436 0.148907 -0.57741
0.327 -0.62932 0.063285 0.119187 -0.22057
0.01 -0.12717 0.067119 0.142729 -0.83134
-0.008 -0.1671 0.057982 0.107016 -0.29003
-0.01 -0.22337 0.026076 0.137834 -0.37393
0.406 -0.67992 0.0686 0.123097 0.424416
0.258 -0.58792 0.053535 0.094468 0.434205
0.248 -0.24699 0.043278 0.129238 -0.47309
0.342 -0.48595 0.081884 0.116727 0.56835
0.262 -0.37158 0.060539 0.103831 -0.38739
0.16 -0.17505 0.087206 0.105829 0.158207
0.072 -0.56198 0.071589 0.116522 0.898823
0.348 -0.46466 0.076922 0.113773 -0.0269
0.522 -0.60946 0.037643 0.113781 0.038839
0.053 -0.41183 0.056824 0.11075 0.581708
0.193 -0.27414 0.07379 0.110551 -0.12552
0.192 -0.46408 0.038418 0.123212 -0.62445
0.028 -0.1456 0.042201 0.133305 0.065275
0.124 -0.19949 0.066241 0.124281 -0.05983
0.038 -0.20437 0.053851 0.117948 0.270227
0.203 -0.2591 0.043011 0.106299 -0.48132
0.142 -0.20304 0.045 0.118852 -0.43817
0.1 -0.21586 0.052697 0.103071 0.780006
0.152 -0.17972 0.079649 0.119846 0.790638
0.222 -0.37287 0.057454 0.110427 0.008253
-0.125 -0.20405 0.036249 0.128601 -0.17742
0.384 -0.40252 0.061854 0.107111 0.236751
0.303 -0.55644 0.073061 0.107876 -0.25292
0.094 -0.36803 0.073824 0.112671 0.058531
0.103 -0.33697 0.05608 0.134882 0.87741
0.35 -0.51907 0.041231 0.116566 -0.49704
0.213 -0.34027 0.068095 0.174643 0.286077
0.177 -0.23709 0.080062 0.119728 -0.90553
0.163 -0.33619 0.068883 0.120606 -0.53915
0.275 -0.37201 0.076157 0.134421 0.810605
0.582 -0.32976 0.089554 0.120502 0.862843
0.19 -0.2852 0.055226 0.099193 0.962303
0.419 -0.69637 0.084077 0.129669 0.805005
-0.081 -0.30273 0.080956 0.115253 -0.97909
-0.013 -0.24629 0.050537 0.131975 -0.78041
0.037 -0.17714 0.045177 0.105409 0.162391
0.065 -0.2735 0.060539 0.118517 0.736987
0.039 -0.19288 0.058309 0.110546 -0.63156
0.116 -0.40133 0.028301 0.120691 -0.30654
0.723 -0.59333 0.04701 0.111933 -0.74518
-0.005 -0.33987 0.08497 0.123403 0.279764
0.34 -0.48391 0.059363 0.163843 0.829403
0.282 -0.3425 0.061911 0.108874 -0.36463
0.202 -0.3777 0.076941 0.109943 0.95271
0.159 -0.42063 0.086764 0.118988 0.643016
0.368 -0.55944 0.082764 0.129864 -0.80953
0.249 -0.53814 0.062265 0.135441 0.317002
0.576 -0.69374 0.051039 0.110295 0.822398
0.035 -0.22446 0.062177 0.122107 0.241508
0.102 -0.77128 0.061294 0.116755 0.111635
0.685 -0.56397 0.064637 0.1349 -0.2066
0.12 -0.38953 0.053851 0.118426 -0.18875
0.361 -0.60243 0.085959 0.128436 0.020818
0.218 -0.47886 0.058668 0.125006 0.564043
0.369 -0.69595 0.047201 0.117564 0.005354
0.085 -0.13997 0.044654 0.118334 -0.4822
0.319 -0.38192 0.073824 0.117228 -0.10496
0.267 -0.54387 0.077369 0.114501 -0.79099
0.396 -0.42749 0.041231 0.094617 0.692094
0.037 -0.26391 0.0414 0.102044 0.540871
0.108 -0.09994 0.051623 0.108102 0.996481
0.168 -0.2417 0.06841 0.126423 0.667149
0.119 -0.32503 0.054378 0.11454 -0.73574
0.298 -0.62767 0.074686 0.116395 -0.67807
0.191 -0.22497 0.063134 0.137589 0.027691
0.158 -0.08033 0.050249 0.101006 -0.98744
0.317 -0.29064 0.060415 0.174443 -0.24916
0.398 -0.23088 0.067119 0.099532 -0.67877
0.269 -0.39543 0.046227 0.115732 0.134086
0.036 -0.1835 0.043829 0.118632 -0.37972
0.304 -0.37806 0.065368 0.112314 0.514865
0.128 -0.21221 0.054203 0.124278 -0.15986
0.282 -0.62663 0.020808 0.122265 0.797478
0.35 -0.5295 0.075584 0.124243 -0.1043
0.133 -0.44532 0.075584 0.131234 -0.51757
0.317 -0.57105 0.028178 0.116293 -0.19541
0.103 -0.49985 0.039204 0.1661 -0.02215
0.103 -0.99771 0.039204 0.166343 -0.5275
0.164 -0.5671 0.035341 0.119341 -0.75858
0.152 -0.08225 0.041231 0.108197 -0.39389
0.345 -0.41865 0.062265 0.120972 0.041777
0.25 -0.32422 0.055569 0.120054 -0.82834
0.071 -0.14184 0.047434 0.104267 0.339739
0.505 -0.39071 0.073925 0.13281 -0.34666
0.194 -0.34422 0.055226 0.133263 -0.49015
0.401 -0.58205 0.067601 0.128414 0.774661
0.589 -0.63237 0.063812 0.121662 -0.01633
0.16 -0.17049 0.067535 0.116286 0.623837
0.507 -0.50241 0.069354 0.120514 -0.37035
0.172 -0.269 0.049091 0.125915 -0.06072
0.051 -0.17905 0.046872 0.11196 0.715795
0.219 -0.26003 0.083192 0.121811 -0.55002
0.269 -0.37445 0.044407 0.125813 0.580264
0.05 -0.27752 0.039824 0.133937 0.713352
0.36 -0.33797 0.055758 0.131315 -0.01563
0.39 -0.41627 0.048259 0.103301 0.728776
0.423 -0.47914 0.062769 0.121241 -0.04001
0.193 -0.25811 0.055569 0.101334 -0.19659
-0.011 -0.11726 0.022203 0.108597 -0.59397
0.164 -0.37695 0.057801 0.126711 -0.71829
0.105 -0.27488 0.0414 0.120409 -0.10537
-0.068 -0.19883 0.032649 0.123147 -0.93426
0.403 -0.41142 0.045803 0.106631 0.206645
0.362 0.207411 0.078262 0.133015 0.593411
0.239 -0.41221 0.046043 0.113559 -0.08453
0.286 -0.58478 0.061773 0.161405 -0.48396
0.238 -0.463 0.056938 0.127187 -0.61309
0.312 -0.29362 0.077369 0.113057 -0.75531
0.392 -0.55656 0.054708 0.116197 0.643516
0.176 -0.22495 0.044407 0.124513 0.244487
0.179 -0.16565 0.052697 0.116698 -0.24969
0.492 -0.44403 0.068264 0.122299 0.487526
0.07 -0.23684 0.038288 0.15134 0.02294
0.128 -0.09541 0.0414 0.111427 -0.24002
0.285 -0.34902 0.065 0.120593 0.812117
0.248 -0.37296 0.053338 0.118029 -0.88942
0.104 -0.13768 0.040804 0.120221 -0.37186
0.266 -0.47445 0.057454 0.114311 0.29024
0.165 -0.44593 0.072013 0.128358 0.676103
-0.012 -0.03067 0.053851 0.107601 0.317821
-0.004 -0.278 0.049396 0.142962 -0.57977
0.421 -0.58607 0.075591 0.123413 -0.91602
0.277 -0.36676 0.053535 0.110662 0.957606
0.3 -0.45436 0.026076 0.117706 -0.75747
0.313 -0.24856 0.048826 0.122413 -0.73288
0.244 -0.49972 0.078294 0.13295 0.467385
0.496 -0.6169 0.079259 0.136112 -0.50105
0.286 -0.13725 0.060539 0.136324 0.045336
0.116 -0.44197 0.078714 0.126281 -0.86822
0.495 -0.52073 0.058008 0.125345 -0.23664
0.127 -0.11987 0.07379 0.113259 0.380785
0.14 -0.55108 0.052697 0.114984 -0.0531
-0.027 -0.2523 0.056435 0.117252 -0.40545
0.335 -0.40298 0.049406 0.114811 0.610122
0.221 -0.21895 0.076537 0.127402 -0.71221
0.321 -0.33543 0.084534 0.120543 -0.9788
0.126 -0.38582 0.067601 0.113427 0.405035
0.217 -0.34656 0.037536 0.10878 0.098456
0.236 -0.44706 0.035468 0.11001 0.461998
0.046 -0.33675 0.044407 0.117708 0.167231
0.351 -0.44419 0.045803 0.130849 0.155458
0.085 -0.24137 0.061911 0.10837 -0.46746
-0.063 -0.23769 0.036249 0.115547 -0.1688
0.075 -0.27895 0.077826 0.121888 -0.58124
0.285 -0.26136 0.04801 0.109295 0.909851
0.395 -0.68191 0.074303 0.131826 -0.62431
0.101 -0.29517 0.052325 0.115178 -0.25357
0.17 -0.23032 0.076059 0.121338 -0.88834
0.123 -0.50311 0.053535 0.119103 -0.08332
0.356 -0.30867 0.06637 0.127189 -0.73225
0.109 -0.19635 0.047434 0.110528 0.583804
0.098 -0.23488 0.022472 0.113454 -0.00946
0.505 -0.4961 0.073061 0.122096 -0.23402
0.078 -0.20099 0.0436 0.147292 0.260682
0.055 -0.146 0.045 0.123487 -0.3048
0.12 -0.20576 0.041231 0.128185 -0.756
0.425 -0.17964 0.089944 0.130193 -0.66261
0.145 -0.23057 0.062769 0.138824 0.080694
0.164 -0.29742 0.067601 0.122096 -0.98993
0.191 -0.24823 0.051865 0.10263 0.27506
0.148 -0.43429 0.071119 0.124288 -0.42431
0.54 -0.63557 0.060745 0.117806 -0.74411
0.251 -0.32935 0.055226 0.127179 0.413797
0.313 -0.39019 0.080529 0.157159 0.755188
0.044 -0.29858 0.034438 0.109472 0.655519
0.988 -0.84229 0.085802 0.143494 -0.98127
0.156 -0.20034 0.051312 0.104866 0.146476
0.534 -0.62343 0.074625 0.126683 0.6196
0.206 -0.26002 0.042801 0.117997 -0.02327
-0.063 -0.18983 0.047707 0.140449 -0.14128
0.251 -0.40416 0.072718 0.126037 0.45195
0.438 -0.44133 0.056859 0.120785 0.249954
0.18 -0.38622 0.059682 0.110919 0.176815
0.708 -0.41945 0.090426 0.135906 -0.31587
0.331 -0.25208 0.053254 0.113058 -0.90514
-0.002 -0.25574 0.053535 0.122756 0.131199
-0.097 -0.14301 0.057454 0.10375 -0.81754
0.155 -0.20687 0.071119 0.12173 0.530138
0.357 -0.51343 0.049819 0.112559 0.381736
-0.026 -0.29397 0.053851 0.107372 0.260472
0.548 -0.73162 0.080993 0.132713 -0.2038
0.248 -0.38169 0.058523 0.114 -0.74529
0.042 0.000112 0.08363 0.120356 -0.70596
0.123 -0.31007 0.050477 0.109685 -0.29377
0.156 -0.33881 0.058137 0.127104 -0.41156
0.053 -0.25891 0.069354 0.112126 -0.27387
0.055 -0.14912 0.0414 0.10759 0.335699
0.314 -0.57656 0.06723 0.118542 0.156291
0.383 -0.54653 0.045607 0.125231 0.224436
0.315 -0.5827 0.055758 0.113912 0.322678
0.198 -0.35253 0.064498 0.11762 0.293542
-0.082 -0.33481 0.053338 0.165573 -0.5298
0.042 -0.29906 0.036878 0.111305 0.184771
-0.062 -0.22258 0.024698 0.113707 -0.71449
0.099 -0.34502 0.078262 0.125871 -0.93877
0.081 -0.30768 0.049929 0.11935 0.909014
0.048 -0.16065 0.066241 0.128825 -0.12582
0.171 -0.39632 0.053254 0.111528 -0.96817
0.184 -0.16136 0.051039 0.127822 0.120015
0.008 -0.31417 0.070235 0.154388 -0.12898
0.347 -0.48694 0.079259 0.135517 -0.76785
0.201 -0.34629 0.045803 0.12803 -0.2609
0 -0.25868 0.044407 0.146253 -0.99612
0.282 -0.43114 0.065863 0.120791 -0.18406
0.477 -0.70311 0.058249 0.127395 -0.76261
0.394 -0.58008 0.069115 0.122724 0.672811
0.085 -0.27659 0.065863 0.125119 -0.78386
0.28 -0.76042 0.07256 0.120549 0.006256
-0.051 -0.16317 0.023853 0.110343 0.268245
0.274 -0.37996 0.039698 0.106669 0.771198
0.134 -0.17139 0.05243 0.099795 -0.57956
0.21 -0.38434 0.081841 0.122354 0.370294
0.303 -0.50132 0.054918 0.134893 -0.81762
0.622 -0.62636 0.080156 0.140456 0.297471
0.114 -0.53832 0.057008 0.11957 -0.12621
0.061 -0.31047 0.045 0.1116 -0.69352
-0.053 -0.16417 0.029529 0.120811 0.606573
0.046 -0.2127 0.053254 0.111213 -0.74267
0.293 -0.57822 0.041231 0.120848 -0.72405
0.415 -0.2292 0.087464 0.138179 0.107183
0.24 -0.50715 0.056302 0.128783 0.657943
0.117 -0.17469 0.034 0.109331 -0.71176
-0.053 -0.30146 0.080956 0.12373 0.76636
0.235 -0.32802 0.037121 0.114729 0.830533
0.308 -0.50802 0.051039 0.113503 -0.68319
-0.013 -0.15508 0.0414 0.124294 0.282567
0.094 -0.2776 0.062769 0.133423 -0.4236
0.492 -0.76588 0.067424 0.127596 -0.79213
0.304 -0.48355 0.071344 0.126848 0.144426
0.43 -0.54153 0.04701 0.114121 0.984504
0.279 -0.48416 0.054083 0.125611 0.563374
0.261 -0.27917 0.086769 0.130941 -0.13376
0.323 -0.4223 0.05243 0.151219 -0.15403
0.107 -0.27139 0.065863 0.120943 -0.92366
0.118 -0.4159 0.088119 0.10902 0.897199
-0.052 -0.15885 0.033541 0.118002 0.652418
0.293 -0.39424 0.063812 0.109155 -0.49679
-0.095 -0.41834 0.056648 0.103104 -0.14683
0.159 -0.18734 0.089005 0.108495 -0.1131
0.096 -0.0937 0.0436 0.101112 -0.83038
0.269 -0.25465 0.068264 0.122716 -0.43833
0.161 -0.37539 0.04801 0.111222 -0.28602
0.236 -0.41008 0.072945 0.104402 0.468637
0.229 -0.55136 0.077897 0.115648 0.409762
0.071 -0.22501 0.054083 0.11686 -0.91173
0.425 -0.63055 0.038948 0.119753 -0.47893
0.423 -1.19715 0.038948 0.11977 0.803368
0.087 -0.34777 0.045803 0.114169 0.70968
0.255 -0.51633 0.080062 0.125178 0.664218
0.351 -0.51818 0.047201 0.11082 -0.74496
0.362 -0.1271 0.080622 0.109472 0.10631
0.158 -0.27624 0.065 0.111373 0.041922
0.019 -0.18198 0.071589 0.146908 -0.58479
0.556 -0.66696 0.039597 0.11317 0.784354
0.194 -0.44649 0.051039 0.115613 0.619128
0.509 -0.53295 0.081884 0.125912 -0.18491
0.215 -0.50186 0.050803 0.164891 -0.52168
0.182 -0.19196 0.045803 0.106573 -0.71114
0.064 -0.13108 0.052201 0.111383 -0.14546
0.301 -0.28255 0.045 0.112926 0.639177
0.182 -0.27614 0.065513 0.158216 -0.10329
0.241 -0.47215 0.072069 0.122368 -0.60872
0.168 -0.30498 0.07256 0.113309 -0.72359
0.456 -0.61682 0.056302 0.115224 -0.53315
0.342 -0.37623 0.05243 0.108892 -0.21703
0.015 -0.16269 0.042801 0.143739 -0.72529
0.002 -0.27783 0.050477 0.107658 -0.96697
0.078 -0.34582 0.051039 0.141516 0.59044
0.192 -0.62786 0.051865 0.113845 -0.56432
0.211 -0.41401 0.086313 0.122865 0.365925
0.331 -0.43033 0.073061 0.108635 0.198276
0.365 -0.82867 0.041868 0.123359 -0.14993
0.441 -0.77619 0.074431 0.113811 -0.10606
0.19 -0.55247 0.061294 0.151635 0.743048
0.19 -0.93877 0.061294 0.151175 -0.44382
-0.055 -0.41736 0.073246 0.113133 -0.72292
0.171 -0.27393 0.05243 0.126992 0.902963
0.124 -0.36992 0.06673 0.121804 -0.99253
0.11 -0.22063 0.026076 0.123364 -0.43937
0.198 -0.30575 0.065 0.110298 -0.85667
0.05 -0.3852 0.061911 0.17097 -0.25806
0.159 -0.28852 0.05243 0.100865 -0.68567
0.228 -0.43578 0.085883 0.112993 -0.21232
0.035 -0.20016 0.036796 0.12243 0.552424
0.072 -0.10581 0.041231 0.104964 0.53658
0.226 -0.39571 0.053254 0.126722 0.586867
0.356 -0.42613 0.087206 0.11397 0.491184
0.08 -0.31341 0.053 0.159475 0.814005
0.262 -0.15838 0.06414 0.144607 -0.49133
0.132 -0.49433 0.035341 0.111726 -0.33928
0.105 -0.14365 0.047423 0.115972 -0.91476
0.003 -0.21817 0.046615 0.144513 -0.39845
0.262 -0.28128 0.059363 0.104523 0.744033
0.434 -0.42243 0.068264 0.11117 -0.00744
0.281 -0.53734 0.072069 0.121756 0.482481
-0.062 -0.17914 0.030413 0.127976 0.208883
-0.12 -0.15412 0.035341 0.120591 -0.49585
0.164 -0.22617 0.049406 0.113563 0.432748
-0.016 -0.22645 0.047169 0.11745 0.484769
0.491 -0.28311 0.065 0.130553 0.162851
0.661 -0.7956 0.042011 0.119331 -0.1388
0.1 -0.13583 0.05608 0.118089 -0.32574
0.132 -0.2966 0.061911 0.135774 0.853383
0.08 -0.17186 0.047434 0.152215 -0.48971
0.264 -0.21496 0.066241 0.105466 -0.532
0.265 -0.40555 0.076941 0.126883 0.138295
0.387 -0.49958 0.044204 0.116409 -0.80429
0.516 -0.59494 0.063631 0.114167 -0.93214
0.123 -0.14308 0.055758 0.12168 -0.17995
0.22 -0.31732 0.046043 0.163268 -0.88661
0.137 -0.29946 0.059539 0.13005 -0.28189
0.135 -0.32111 0.077388 0.113079 -0.34306
0.16 -0.21926 0.049091 0.122936 0.405567
0.387 -0.51527 0.074686 0.122349 -0.56362
0.163 -0.58018 0.0414 0.103856 -0.51103
0.344 -0.21693 0.076026 0.120542 0.346196
0.189 -0.24067 0.062801 0.128423 -0.31273
0.24 -0.56631 0.072006 0.121561 0.565495
0.32 -0.35751 0.076941 0.11776 0.601517
0.065 -0.12922 0.075584 0.107041 0.336888
0.307 -0.49765 0.062769 0.113038 -0.17241
0.161 -0.41495 0.080956 0.125653 0.08088
