"x" "y" "x_err" "y_err" "corxy"
9.941 20.137 0.079 0.079 0.705
9.976 20.142 0.088 0.088 0.513
10.163 20.046 0.125 0.125 0.789
9.845 20.273 0.052 0.052 0.566
9.99 20.242 0.071 0.071 0.579
9.812 19.801 0.125 0.125 0.732
9.85 20.092 0.065 0.065 0.762
9.517 20.575 0.032 0.032 0.798
10.271 20.248 0.125 0.125 0.712
9.848 19.958 0.094 0.094 0.624
10.065 20.106 0.125 0.125 0.5
10.028 20.255 0.095 0.095 0.78
10.089 20.15 0.125 0.125 0.758
9.938 20.034 0.092 0.092 0.521
9.839 20.34 0.047 0.047 0.571
9.967 20.059 0.106 0.106 0.721
10.079 20.231 0.085 0.085 0.578
9.494 20.683 0.03 0.03 0.55
10.008 20.016 0.125 0.125 0.792
9.822 20.366 0.045 0.045 0.618
10.049 20.145 0.081 0.081 0.593
9.879 20.141 0.103 0.103 0.569
9.849 20.045 0.125 0.125 0.518
10.046 20.031 0.125 0.125 0.641
9.749 20.29 0.046 0.046 0.507
9.811 20.222 0.053 0.053 0.715
9.912 20.164 0.066 0.066 0.611
9.855 20.178 0.069 0.069 0.665
9.949 20.087 0.091 0.091 0.755
9.867 19.951 0.125 0.125 0.659
9.929 19.95 0.094 0.094 0.799
9.982 20.059 0.107 0.107 0.777
9.749 20.351 0.043 0.043 0.663
9.845 20.074 0.072 0.072 0.709
9.806 20.314 0.046 0.046 0.749
9.935 20.275 0.053 0.053 0.566
9.835 19.876 0.125 0.125 0.631
9.996 20.233 0.066 0.066 0.765
9.82 20.212 0.054 0.054 0.515
10.153 20.141 0.125 0.125 0.661
9.723 20.122 0.075 0.075 0.576
10.015 19.998 0.106 0.106 0.62
9.964 20.162 0.067 0.067 0.57
9.948 20.12 0.114 0.114 0.684
9.827 19.988 0.066 0.066 0.749
9.938 20.107 0.085 0.085 0.777
9.975 20.087 0.09 0.09 0.545
9.755 20.346 0.045 0.045 0.774
9.792 20.233 0.049 0.049 0.732
9.715 19.872 0.121 0.121 0.734
10.043 20.169 0.076 0.076 0.734
9.921 20.079 0.097 0.097 0.582
10.041 20.238 0.125 0.125 0.595
9.672 20.392 0.04 0.04 0.637
9.99 20.197 0.06 0.06 0.525
9.92 20.033 0.096 0.096 0.654
9.883 20.012 0.078 0.078 0.695
10.09 19.832 0.125 0.125 0.549
10.064 20.164 0.125 0.125 0.517
10.21 20.186 0.125 0.125 0.764
9.774 20.329 0.045 0.045 0.659
9.911 19.815 0.125 0.125 0.584
10.012 20.216 0.125 0.125 0.734
9.653 20.226 0.043 0.043 0.657
9.885 20.199 0.064 0.064 0.644
9.629 20.427 0.036 0.036 0.542
9.881 19.891 0.09 0.09 0.572
10.131 19.962 0.125 0.125 0.597
9.823 19.904 0.125 0.125 0.71
9.956 19.859 0.125 0.125 0.57
9.731 20.325 0.041 0.041 0.631
9.778 20.26 0.051 0.051 0.786
9.938 19.907 0.125 0.125 0.789
9.831 19.851 0.121 0.121 0.582
9.791 20.284 0.049 0.049 0.73
9.977 20.208 0.072 0.072 0.78
9.95 20.048 0.08 0.08 0.658
9.825 20.223 0.053 0.053 0.69
9.728 20.316 0.044 0.044 0.646
9.775 20.158 0.056 0.056 0.577
10.022 20.031 0.125 0.125 0.642
9.936 19.895 0.125 0.125 0.732
9.877 20.067 0.072 0.072 0.726
10.071 19.93 0.125 0.125 0.577
9.653 20.386 0.038 0.038 0.727
9.977 20.02 0.125 0.125 0.609
9.865 19.884 0.125 0.125 0.522
9.591 20.467 0.035 0.035 0.742
9.958 20.149 0.091 0.091 0.781
10.169 20.019 0.122 0.122 0.528
9.926 20.367 0.052 0.052 0.797
9.899 20.066 0.074 0.074 0.611
9.773 20.177 0.056 0.056 0.769
9.992 19.981 0.125 0.125 0.696
9.689 19.636 0.125 0.125 0.731
9.851 20.152 0.057 0.057 0.551
9.879 20.379 0.046 0.046 0.703
9.814 20.292 0.049 0.049 0.65
9.927 20.118 0.07 0.07 0.598
9.856 19.995 0.077 0.077 0.548
9.87 20.322 0.047 0.047 0.773
10.173 20.132 0.114 0.114 0.696
9.879 20.104 0.066 0.066 0.725
9.781 20.253 0.048 0.048 0.703
10.108 20.194 0.093 0.093 0.56
9.947 20.211 0.061 0.061 0.791
9.748 19.948 0.125 0.125 0.62
